timestamp,a,b,membranePot
24206.04763,,,15
24206.06075,,,-85
24207.04784,,,-84
24208.27003,,,0
24209.27004,,,1
24210.9164,,,3
24211.91706,,,4
24212.63082,,,6
24213.63137,,,7
24214.99722,,,9
24215.99807,,,10
24216.53065,,,12
24217.53165,,,13
24218.22361,,,15
24218.53646,,,16
24219.22422,,,-84
24220.82637,,,0
24221.82669,,,1
24222.16339,,,3
24223.16364,,,4
24224.45851,,,6
24225.45943,,,7
24226.5225,,,9
24227.5225,,,10
24228.16821,,,12
24229.16859,,,13
24230.17375,,,15
24230.64692,,,-85
24231.17382,,,-84
24232.0994,,,0
24233.0999,,,1
24234.70793,,,3
24235.70824,,,4
24236.59414,,,6
24237.59502,,,7
24238.84984,,,9
24239.85053,,,10
24240.64096,,,12
24241.64105,,,13
24242.64675,,,15
24242.74262,,,-85
24243.64753,,,-84
24244.98526,,,0
24245.98569,,,1
24246.20613,,,3
24247.20671,,,4
24248.29495,,,6
24249.29578,,,7
24250.78328,,,9
24251.78372,,,10
24252.93073,,,12
24253.93088,,,13
24254.30325,,,15
24254.93578,,,16
24255.30338,,,-84
24256.47021,,,0
24257.4712,,,1
24258.25993,,,3
24259.26012,,,4
24260.14788,,,6
24261.14861,,,7
24262.46477,,,9
24263.46559,,,10
24264.96467,,,12
24265.96494,,,13
24266.28877,,,15
24266.97014,,,16
24267.28912,,,-84
24268.76688,,,0
24269.76741,,,1
24270.92812,,,3
24271.92848,,,4
24272.73774,,,6
24273.73834,,,7
24274.75788,,,9
24275.75887,,,10
24276.52793,,,12
24277.52889,,,13
24278.53203,,,15
24278.6294,,,-85
24279.53282,,,-84
24280.56244,,,0
24281.56333,,,1
24282.4521,,,3
24283.45273,,,4
24284.69722,,,6
24285.69772,,,7
24286.40651,,,9
24287.4066,,,10
24288.22631,,,12
24289.22654,,,13
24290.23203,,,15
24290.72816,,,-85
24291.2329,,,-84
24292.88078,,,0
24293.88111,,,1
24294.91228,,,3
24295.91311,,,4
24296.75454,,,6
24297.75481,,,7
24298.81033,,,9
24299.81111,,,10
24300.95177,,,12
24301.95248,,,13
24302.24093,,,15
24302.95647,,,16
24303.24148,,,-84
24304.72558,,,0
24305.72599,,,1
24306.91404,,,3
24307.9142,,,4
24308.29281,,,6
24309.29342,,,7
24310.51744,,,9
24311.51795,,,10
24312.76948,,,12
24313.77039,,,13
24314.7287,,,15
24314.77462,,,16
24315.72879,,,-84
24316.72781,,,0
24317.72852,,,1
24318.14625,,,3
24319.14632,,,4
24320.095,,,6
24321.09558,,,7
24322.28205,,,9
24323.28274,,,10
24324.71945,,,12
24325.71954,,,13
24326.72607,,,15
24326.9238,,,-85
24327.72666,,,-84
24328.13224,,,0
24329.13263,,,1
24330.94183,,,3
24331.94186,,,4
24332.80078,,,6
24333.80118,,,7
24334.18194,,,9
24335.18197,,,10
24336.16188,,,12
24337.16258,,,13
24338.16742,,,15
24338.22584,,,-85
24339.16791,,,-84
24340.26505,,,0
24341.26562,,,1
24342.45192,,,3
24343.45291,,,4
24344.78831,,,6
24345.7892,,,7
24346.91557,,,9
24347.91577,,,10
24348.81279,,,12
24349.81329,,,13
24350.32345,,,15
24350.81969,,,16
24351.32385,,,-84
24352.62358,,,0
24353.62447,,,1
24354.57987,,,3
24355.58042,,,4
24356.10195,,,6
24357.10239,,,7
24358.26635,,,9
24359.26663,,,10
24360.19418,,,12
24361.19492,,,13
24362.20027,,,15
24362.41772,,,-85
24363.20097,,,-84
24364.4026,,,0
24365.40284,,,1
24366.25628,,,3
24367.25723,,,4
24368.3778,,,6
24369.37782,,,7
24370.3033,,,9
24371.30388,,,10
24372.59409,,,12
24373.59424,,,13
24374.07274,,,15
24374.59972,,,16
24375.07347,,,-84
24376.63365,,,0
24377.63401,,,1
24378.99143,,,3
24379.99195,,,4
24380.68364,,,6
24381.68462,,,7
24382.24083,,,9
24383.24093,,,10
24384.58075,,,12
24385.58149,,,13
24386.58717,,,15
24386.8457,,,-85
24387.58739,,,-84
24388.37546,,,0
24389.37646,,,1
24390.28695,,,3
24391.28771,,,4
24392.92334,,,6
24393.92405,,,7
24394.1975,,,9
24395.19818,,,10
24396.44602,,,12
24397.4469,,,13
24398.45172,,,15
24398.72569,,,-85
24399.45196,,,-84
24400.89168,,,0
24401.8918,,,1
24402.97839,,,3
24403.97853,,,4
24404.22938,,,6
24405.22948,,,7
24406.44658,,,9
24407.44713,,,10
24408.49554,,,12
24409.49612,,,13
24410.35594,,,15
24410.5013,,,16
24411.35642,,,-84
24412.30823,,,0
24413.30923,,,1
24414.21366,,,3
24415.2144,,,4
24416.71432,,,6
24417.71451,,,7
24418.97113,,,9
24419.97135,,,10
24420.84172,,,12
24421.84205,,,13
24422.70319,,,15
24422.84631,,,16
24423.70326,,,-84
24424.83844,,,0
24425.83914,,,1
24426.56522,,,3
24427.56523,,,4
24428.75369,,,6
24429.75456,,,7
24430.97926,,,9
24431.97998,,,10
24432.29039,,,12
24433.29086,,,13
24434.29561,,,15
24434.43747,,,-85
24435.29634,,,-84
24436.93481,,,0
24437.93493,,,1
24438.49718,,,3
24439.49719,,,4
24440.95766,,,6
24441.95808,,,7
24442.70443,,,9
24443.70451,,,10
24444.79087,,,12
24445.79172,,,13
24446.79693,,,15
24446.88105,,,-85
24447.79737,,,-84
24448.12594,,,0
24449.12683,,,1
24450.93324,,,3
24451.93353,,,4
24452.92692,,,6
24453.92769,,,7
24454.3024,,,9
24455.30252,,,10
24456.27072,,,12
24457.27129,,,13
24458.278,,,15
24458.59216,,,-85
24459.27873,,,-84
24460.3286,,,0
24461.32913,,,1
24462.40115,,,3
24463.40202,,,4
